title,company,location,apply_link
Data Analyst,Virtusa,"Bangalore Urban, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-virtusa-4399532783?position=32&pageNum=0&refId=waoK9RQrmDUxkx2AZMlLOw%3D%3D&trackingId=o88T9si8TGVA9eMfOHnCxw%3D%3D
Consultant,Infosys,"Bangalore Urban, Karnataka, India",https://in.linkedin.com/jobs/view/consultant-at-infosys-4392197582?position=33&pageNum=0&refId=waoK9RQrmDUxkx2AZMlLOw%3D%3D&trackingId=rboTPQNsbvf6H0xkVzlQkA%3D%3D
DGM Data Analyst,airtel,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/dgm-data-analyst-at-airtel-4402438355?position=34&pageNum=0&refId=waoK9RQrmDUxkx2AZMlLOw%3D%3D&trackingId=b2vT73xcw7Bmm4xqaYutZA%3D%3D
"Data Analysts, ETL, SQL, Informatica",Infosys,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/data-analysts-etl-sql-informatica-at-infosys-4397274564?position=35&pageNum=0&refId=waoK9RQrmDUxkx2AZMlLOw%3D%3D&trackingId=ltUDBdtjoqjviGn4qXh%2BFA%3D%3D
"Data Analysts, ETL, SQL, Informatica",Infosys,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/data-analysts-etl-sql-informatica-at-infosys-4397228196?position=36&pageNum=0&refId=waoK9RQrmDUxkx2AZMlLOw%3D%3D&trackingId=CF5iZbaXeBFj0QNlGcPPfQ%3D%3D
Associate Data Insight Analyst [T500-24881],Albertsons Companies India,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/associate-data-insight-analyst-t500-24881-at-albertsons-companies-india-4394649006?position=37&pageNum=0&refId=waoK9RQrmDUxkx2AZMlLOw%3D%3D&trackingId=MuD8dUkbLBX%2Fxvvv8fiehQ%3D%3D
Data Analyst,Randstad Enterprise,India,https://in.linkedin.com/jobs/view/data-analyst-at-randstad-enterprise-4380251175?position=38&pageNum=0&refId=waoK9RQrmDUxkx2AZMlLOw%3D%3D&trackingId=prYvseiSWgjdgZZCLdt16A%3D%3D
Data Analyst,UST,"Pune City, Maharashtra, India",https://in.linkedin.com/jobs/view/data-analyst-at-ust-4397671776?position=39&pageNum=0&refId=waoK9RQrmDUxkx2AZMlLOw%3D%3D&trackingId=X8nTXLyxf3DhFb8fxSUykQ%3D%3D
"Data Analyst (SQL,HDFS, Hive)",RiskInsight Consulting Pvt Ltd.,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-sql-hdfs-hive-at-riskinsight-consulting-pvt-ltd-4370337080?position=40&pageNum=0&refId=waoK9RQrmDUxkx2AZMlLOw%3D%3D&trackingId=nB77O17IRmfQ7P%2FUT7bEuA%3D%3D
Associate Data Analyst - Enterprise & Reporting,Circle K,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/associate-data-analyst-enterprise-reporting-at-circle-k-4395998183?position=41&pageNum=0&refId=waoK9RQrmDUxkx2AZMlLOw%3D%3D&trackingId=SMjzYvMb1CNDhjRTWCML%2Fw%3D%3D
Data Analyst,LTM,Greater Bengaluru Area,https://in.linkedin.com/jobs/view/data-analyst-at-ltm-4394899531?position=42&pageNum=0&refId=waoK9RQrmDUxkx2AZMlLOw%3D%3D&trackingId=tLco4YRqtQKvX9wXKKXHlQ%3D%3D
Data Analyst/Engineer – SCG India,SCG,"New Delhi, Delhi, India",https://in.linkedin.com/jobs/view/data-analyst-engineer-%E2%80%93-scg-india-at-scg-4298398443?position=43&pageNum=0&refId=waoK9RQrmDUxkx2AZMlLOw%3D%3D&trackingId=pnz%2B%2FvBKIQ2RHn13IxN7Ow%3D%3D
Data Analyst,Fluid Touch Pte Ltd,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/data-analyst-at-fluid-touch-pte-ltd-4397762539?position=44&pageNum=0&refId=waoK9RQrmDUxkx2AZMlLOw%3D%3D&trackingId=meqxYwkU1OpIINSZMB655A%3D%3D
Data Analyst,Insight Global,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-insight-global-4401460038?position=45&pageNum=0&refId=waoK9RQrmDUxkx2AZMlLOw%3D%3D&trackingId=Sd2hAdMJjRZUp3wYYJS4WQ%3D%3D
Data & Records Governance Analyst,hackajob,"Pune Division, Maharashtra, India",https://in.linkedin.com/jobs/view/data-records-governance-analyst-at-hackajob-4394459329?position=46&pageNum=0&refId=waoK9RQrmDUxkx2AZMlLOw%3D%3D&trackingId=UytXxTB657MsnalqGrhPmw%3D%3D
Data Analyst,"Enterprise Minds, Inc","Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-enterprise-minds-inc-4393034116?position=47&pageNum=0&refId=waoK9RQrmDUxkx2AZMlLOw%3D%3D&trackingId=aVus6uiCIAJBDRwdmm5owA%3D%3D
BI & Data Analyst,Ajmera Realty & Infra India Ltd.,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/bi-data-analyst-at-ajmera-realty-infra-india-ltd-4396962511?position=48&pageNum=0&refId=waoK9RQrmDUxkx2AZMlLOw%3D%3D&trackingId=HMKNQvUr6ItFnHK5zeOuNQ%3D%3D
"Data Analyst (Remote, India)",Peakflo (YC W22),India,https://in.linkedin.com/jobs/view/data-analyst-remote-india-at-peakflo-yc-w22-4326039582?position=49&pageNum=0&refId=waoK9RQrmDUxkx2AZMlLOw%3D%3D&trackingId=Wre%2FPps42TKTB%2BUlRP%2Biag%3D%3D
