title                                                                         , company                                                                , location                           , apply_link
Data Engineer-DataStage                                                       , Encore Talent Solutions                                                , "Cincinnati, OH"                   , https://www.linkedin.com/jobs/view/data-engineer-datastage-at-encore-talent-solutions-4398046269?position=37&pageNum=0&refId=uMxx0125UAWqJ4GyQtkb9g%3D%3D&trackingId=N1X5Ibr3bCQ%2BKTLRh%2BRc2A%3D%3D
Data Engineer                                                                 , Medpace                                                                , "Cincinnati, OH"                   , https://www.linkedin.com/jobs/view/data-engineer-at-medpace-4357652053?position=38&pageNum=0&refId=uMxx0125UAWqJ4GyQtkb9g%3D%3D&trackingId=8LWFJPM9Wp3FZlGezNOGsA%3D%3D
Data Engineer                                                                 , Encore Talent Solutions                                                , "Cincinnati, OH"                   , https://www.linkedin.com/jobs/view/data-engineer-at-encore-talent-solutions-4393566366?position=39&pageNum=0&refId=uMxx0125UAWqJ4GyQtkb9g%3D%3D&trackingId=sn5Inm60onG1ddzYstD%2F%2BQ%3D%3D
Associate Data Scientist                                                      , Fifth Third Bank                                                       , "Cincinnati, OH"                   , https://www.linkedin.com/jobs/view/associate-data-scientist-at-fifth-third-bank-4385677316?position=40&pageNum=0&refId=uMxx0125UAWqJ4GyQtkb9g%3D%3D&trackingId=gH6hHsn5GdD1WWT4m3cZqg%3D%3D
"Lead Analyst, Insights & Analytics"                                          , Fifth Third Bank                                                       , "Cincinnati, OH"                   , https://www.linkedin.com/jobs/view/lead-analyst-insights-analytics-at-fifth-third-bank-4399690373?position=41&pageNum=0&refId=uMxx0125UAWqJ4GyQtkb9g%3D%3D&trackingId=ScWIIbpHXP1rMMQbokeGow%3D%3D
Category Insights Analyst                                                     , Perfetti Van Melle                                                     , Cincinnati Metropolitan Area       , https://www.linkedin.com/jobs/view/category-insights-analyst-at-perfetti-van-melle-4383899466?position=42&pageNum=0&refId=uMxx0125UAWqJ4GyQtkb9g%3D%3D&trackingId=uKaGCtomB1sxcV6as%2FaW1w%3D%3D
"Data Engineer - DataStage ETL III(no thrird party, only W2)"                 , CBTS                                                                   , "Cincinnati, OH"                   , https://www.linkedin.com/jobs/view/data-engineer-datastage-etl-iii-no-thrird-party-only-w2-at-cbts-4381852280?position=43&pageNum=0&refId=uMxx0125UAWqJ4GyQtkb9g%3D%3D&trackingId=mZ%2BuINM9TxSModyVIAIm7w%3D%3D
"Data Engineer III(no third party, only W2)"                                  , CBTS                                                                   , "Cincinnati, OH"                   , https://www.linkedin.com/jobs/view/data-engineer-iii-no-third-party-only-w2-at-cbts-4377249576?position=44&pageNum=0&refId=uMxx0125UAWqJ4GyQtkb9g%3D%3D&trackingId=CwrRYQVHXyT1eyl9eQTztQ%3D%3D
Investigative Analyst                                                         , Total Quality Logistics                                                , "Cincinnati, OH"                   , https://www.linkedin.com/jobs/view/investigative-analyst-at-total-quality-logistics-4391885617?position=45&pageNum=0&refId=uMxx0125UAWqJ4GyQtkb9g%3D%3D&trackingId=iGlqn8%2FhBSgAeXEKd4Syvg%3D%3D
Business Intelligence Analyst I                                               , Western & Southern Financial Group                                     , "Cincinnati, OH"                   , https://www.linkedin.com/jobs/view/business-intelligence-analyst-i-at-western-southern-financial-group-4394466686?position=46&pageNum=0&refId=uMxx0125UAWqJ4GyQtkb9g%3D%3D&trackingId=nWR%2B2UvLaiiNuSHg7JLYsw%3D%3D
Clinical Data Analyst - MOB Lindner Research Admin - Full Time - Days - Hybrid, The Christ Hospital Health Network                                     , "Cincinnati, OH"                   , https://www.linkedin.com/jobs/view/clinical-data-analyst-mob-lindner-research-admin-full-time-days-hybrid-at-the-christ-hospital-health-network-4404469035?position=47&pageNum=0&refId=uMxx0125UAWqJ4GyQtkb9g%3D%3D&trackingId=jjsT4lCfoZ3PLaE1FeVNsg%3D%3D
Data Engineer Level 2                                                         , Ascendum Solutions                                                     , "Cincinnati, OH"                   , https://www.linkedin.com/jobs/view/data-engineer-level-2-at-ascendum-solutions-4403784076?position=48&pageNum=0&refId=uMxx0125UAWqJ4GyQtkb9g%3D%3D&trackingId=ScEXbRSG23qRaLKA5R8aZA%3D%3D
Technical Analyst                                                             , Ascendum Solutions                                                     , "Cincinnati, OH"                   , https://www.linkedin.com/jobs/view/technical-analyst-at-ascendum-solutions-4377274074?position=49&pageNum=0&refId=uMxx0125UAWqJ4GyQtkb9g%3D%3D&trackingId=yg8N%2B41%2B3Qfod0187Cl5zQ%3D%3D
Business Systems Analyst - Imaging                                            , Medpace                                                                , "Cincinnati, OH"                   , https://www.linkedin.com/jobs/view/business-systems-analyst-imaging-at-medpace-4330616892?position=50&pageNum=0&refId=uMxx0125UAWqJ4GyQtkb9g%3D%3D&trackingId=Kw%2BkPbeAEePjswt9dekiPQ%3D%3D
IT System Support & Data Analyst                                              , Inhabit®                                                               , "Mason, OH"                        , https://www.linkedin.com/jobs/view/it-system-support-data-analyst-at-inhabit%C2%AE-4402805439?position=51&pageNum=0&refId=uMxx0125UAWqJ4GyQtkb9g%3D%3D&trackingId=zGyytYXJ3XoXrUiudjHflg%3D%3D
Data Modeler                                                                  , Munich Re                                                              , Cincinnati Metropolitan Area       , https://www.linkedin.com/jobs/view/data-modeler-at-munich-re-4382181324?position=52&pageNum=0&refId=uMxx0125UAWqJ4GyQtkb9g%3D%3D&trackingId=lFjT9DdrIFIg2GViGZfNRA%3D%3D
Graduate Data Platform Engineer                                               , Today Digital                                                          , "Manchester, IN"                   , https://www.linkedin.com/jobs/view/graduate-data-platform-engineer-at-today-digital-4378450100?position=53&pageNum=0&refId=uMxx0125UAWqJ4GyQtkb9g%3D%3D&trackingId=%2BxCwbJPycigPiqNouKPDJQ%3D%3D
Business Intelligence Analyst II                                              , Cincinnati Children's Office of Academic Affairs and Career Development, "Cincinnati, OH"                   , https://www.linkedin.com/jobs/view/business-intelligence-analyst-ii-at-cincinnati-children-s-office-of-academic-affairs-and-career-development-4371412029?position=54&pageNum=0&refId=uMxx0125UAWqJ4GyQtkb9g%3D%3D&trackingId=W7IgTpsAj8G%2FN%2FWycukpSQ%3D%3D
Business Intelligence Analyst II - HealthVine                                 , Cincinnati Children's Office of Academic Affairs and Career Development, "Cincinnati, OH"                   , https://www.linkedin.com/jobs/view/business-intelligence-analyst-ii-healthvine-at-cincinnati-children-s-office-of-academic-affairs-and-career-development-4367920433?position=55&pageNum=0&refId=uMxx0125UAWqJ4GyQtkb9g%3D%3D&trackingId=9Q34%2Bly0s7x6zT4KivQjvQ%3D%3D
Data Engineer                                                                 , Paychex                                                                , "Cincinnati, OH"                   , https://www.linkedin.com/jobs/view/data-engineer-at-paychex-4400855876?position=56&pageNum=0&refId=uMxx0125UAWqJ4GyQtkb9g%3D%3D&trackingId=UcVrSRu6ikd%2Fk84t5xZDrg%3D%3D
Data Analyst                                                                  , Aditya Birla Capital                                                   , "Maharashtra, India"               , https://in.linkedin.com/jobs/view/data-analyst-at-aditya-birla-capital-4393216089?position=1&pageNum=0&refId=ztOzdw38ykoY8VmqBVfdFw%3D%3D&trackingId=qiKGWJqLS11hkPO0FrO%2BpQ%3D%3D
Data Analyst (Stata) | Remote                                                 , Crossing Hurdles                                                       , India                              , https://in.linkedin.com/jobs/view/data-analyst-stata-remote-at-crossing-hurdles-4403960305?position=2&pageNum=0&refId=ztOzdw38ykoY8VmqBVfdFw%3D%3D&trackingId=BeIAuzMF2KXZ78WaKJTD6w%3D%3D
